                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.39415,                0.32393,                0.87452,                0.99723,                      1,                  0.995,                0.94451,                0.32279,                0.30036,                0.81291,              0.0011487,              0.0011487,              0.0011487
                     78,                 0.3933,                0.32364,                0.87875,                0.99726,                      1,                  0.995,                0.94211,                0.34521,                0.33004,                0.81177,              0.0011585,              0.0011585,              0.0011585
                     79,                0.40697,                0.32429,                0.85979,                0.99719,                      1,                  0.995,                0.94147,                0.34589,                0.32591,                0.81455,              0.0011681,              0.0011681,              0.0011681
                     80,                0.40557,                0.31046,                0.88243,                  0.997,                      1,                  0.995,                0.95786,                0.29298,                0.26526,                0.80933,              0.0011776,              0.0011776,              0.0011776
                     81,                0.41521,                0.32539,                0.89232,                0.99679,                      1,                  0.995,                 0.9833,                0.26541,                0.25716,                0.80215,               0.001187,               0.001187,               0.001187
                     82,                0.39663,                0.30925,                0.87561,                0.99701,                      1,                  0.995,                0.98955,                0.28132,                0.25501,                0.80131,              0.0011962,              0.0011962,              0.0011962
                     83,                 0.4075,                0.31103,                0.87391,                0.99736,                      1,                  0.995,                0.95793,                0.31277,                0.25017,                0.80832,              0.0012053,              0.0012053,              0.0012053
                     84,                0.40616,                0.30712,                 0.8821,                      1,                0.99963,                  0.995,                0.92818,                0.34429,                0.26502,                0.80624,              0.0012143,              0.0012143,              0.0012143
                     85,                0.42684,                0.31337,                0.88085,                0.99655,                      1,                  0.995,                0.94902,                0.32479,                0.28324,                0.80653,              0.0012232,              0.0012232,              0.0012232
                     86,                0.39962,                0.31832,                0.87294,                0.99336,                      1,                  0.995,                0.96645,                0.33509,                0.30051,                0.81258,              0.0012319,              0.0012319,              0.0012319
                     87,                0.39082,                0.30696,                0.86446,                0.99706,                0.94737,                0.98818,                0.95789,                0.34521,                0.36037,                 0.8178,              0.0012404,              0.0012404,              0.0012404
                     88,                0.39188,                0.30849,                0.86674,                0.99746,                0.94737,                0.95838,                0.90014,                0.36319,                0.37779,                0.82485,              0.0012489,              0.0012489,              0.0012489
                     89,                0.38998,                0.30639,                0.88219,                0.99628,                0.94737,                0.95422,                0.90352,                0.37363,                0.38043,                0.83366,              0.0012572,              0.0012572,              0.0012572
                     90,                0.39644,                0.30826,                0.86328,                0.99641,                0.94737,                 0.9549,                0.88458,                0.37944,                0.37426,                0.83803,              0.0012654,              0.0012654,              0.0012654
                     91,                0.39632,                0.30906,                0.88595,                0.99554,                0.94737,                0.94958,                0.91395,                0.34817,                0.34283,                0.82635,              0.0012735,              0.0012735,              0.0012735
                     92,                0.37424,                0.29946,                0.86393,                0.99693,                0.94737,                0.95097,                0.92376,                0.36279,                0.34377,                0.82891,              0.0012814,              0.0012814,              0.0012814
                     93,                0.41225,                0.32089,                0.88308,                0.99643,                0.89474,                0.94912,                 0.9035,                0.36598,                0.35433,                0.83894,              0.0012892,              0.0012892,              0.0012892
                     94,                 0.3913,                0.31231,                 0.8815,                0.99404,                0.89474,                0.93287,                0.88912,                0.35259,                0.38149,                0.84096,              0.0012968,              0.0012968,              0.0012968
                     95,                0.37897,                0.30204,                0.86666,                      1,                0.89457,                0.91988,                 0.8836,                0.34671,                0.34918,                0.84166,              0.0013044,              0.0013044,              0.0013044
                     96,                0.39825,                0.30675,                0.87186,                0.99058,                0.89474,                0.92593,                0.88117,                0.41992,                 0.4106,                0.86249,              0.0013117,              0.0013117,              0.0013117
                     97,                0.41006,                0.30169,                0.87098,                0.97682,                0.89474,                0.91505,                0.87758,                0.35723,                0.40653,                0.83407,               0.001319,               0.001319,               0.001319
                     98,                0.37221,                0.29308,                0.86291,                0.98829,                0.84211,                0.89303,                0.83596,                0.36797,                0.43554,                0.83461,              0.0013261,              0.0013261,              0.0013261
                     99,                0.40118,                0.31088,                0.87504,                0.99178,                0.84211,                0.86682,                0.80472,                 0.3906,                0.45336,                0.84145,              0.0013331,              0.0013331,              0.0013331
